State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
COLORADO-Nonmetropolitan Counties,Yuma,19,8,11
DELAWARE-Metropolitan Counties,New Castle County Police Department,442,325,117
FLORIDA-Metropolitan Counties,Alachua,495,280,215
FLORIDA-Metropolitan Counties,Baker,140,45,95
FLORIDA-Metropolitan Counties,Bay,274,213,61
FLORIDA-Metropolitan Counties,Brevard,"1,179",500,679
FLORIDA-Metropolitan Counties,Broward,"2,996","1,535","1,461"
FLORIDA-Metropolitan Counties,Charlotte,374,254,120
FLORIDA-Metropolitan Counties,Clay,535,262,273
FLORIDA-Metropolitan Counties,Collier,914,565,349
FLORIDA-Metropolitan Counties,Escambia,"1,105",717,388
FLORIDA-Metropolitan Counties,Flagler,187,130,57
FLORIDA-Metropolitan Counties,Gadsden,75,50,25
FLORIDA-Metropolitan Counties,Gilchrist,52,26,26
FLORIDA-Metropolitan Counties,Hernando,506,322,184
FLORIDA-Metropolitan Counties,Hillsborough,"3,326","1,246","2,080"
FLORIDA-Metropolitan Counties,Indian River,481,332,149
FLORIDA-Metropolitan Counties,Jefferson,52,22,30
FLORIDA-Metropolitan Counties,Lake,449,290,159
FLORIDA-Metropolitan Counties,Lee,899,548,351
FLORIDA-Metropolitan Counties,Leon,356,241,115
FLORIDA-Metropolitan Counties,Manatee,"1,067",696,371
FLORIDA-Metropolitan Counties,Marion,758,548,210
FLORIDA-Metropolitan Counties,Martin,510,249,261
FLORIDA-Metropolitan Counties,Miami-Dade,"4,266","3,024","1,242"
FLORIDA-Metropolitan Counties,Nassau,209,106,103
FLORIDA-Metropolitan Counties,Okaloosa,342,248,94
FLORIDA-Metropolitan Counties,Orange,"1,962","1,351",611
FLORIDA-Metropolitan Counties,Osceola,593,383,210
FLORIDA-Metropolitan Counties,Palm Beach,"3,236","1,459","1,777"
FLORIDA-Metropolitan Counties,Pasco,"1,135",489,646
FLORIDA-Metropolitan Counties,Pinellas,"1,269",743,526
FLORIDA-Metropolitan Counties,Polk,"1,537",594,943
FLORIDA-Metropolitan Counties,Santa Rosa,259,179,80
FLORIDA-Metropolitan Counties,Sarasota,916,395,521
FLORIDA-Metropolitan Counties,Seminole,"1,079",397,682
FLORIDA-Metropolitan Counties,St. Johns,542,261,281
FLORIDA-Metropolitan Counties,St. Lucie,595,243,352
FLORIDA-Metropolitan Counties,Volusia,720,418,302
FLORIDA-Metropolitan Counties,Wakulla,86,57,29
FLORIDA-Nonmetropolitan Counties,Bradford,48,33,15
FLORIDA-Nonmetropolitan Counties,Calhoun,22,14,8
FLORIDA-Nonmetropolitan Counties,Citrus,366,213,153
FLORIDA-Nonmetropolitan Counties,Columbia,173,93,80
FLORIDA-Nonmetropolitan Counties,DeSoto,75,54,21
FLORIDA-Nonmetropolitan Counties,Dixie,74,28,46
FLORIDA-Nonmetropolitan Counties,Franklin,73,34,39
FLORIDA-Nonmetropolitan Counties,Glades,148,98,50
FLORIDA-Nonmetropolitan Counties,Gulf,42,27,15
FLORIDA-Nonmetropolitan Counties,Hamilton,57,18,39
FLORIDA-Nonmetropolitan Counties,Hardee,96,43,53
